label,text,preprocessing-result
Ham,"KAKAK GIGI YG CANTIK SENYUMNYA PUN MANIS & DEDEK RAFATHAR YG GANTENG SENYUMNYA JUGA MANIS😊😊🤗. SEMOGA SEHAT SELALU, LANCAR REZEKI & USAHANYA, & SELALU DALAM LINDUNGAN ALLAH SWT. AMIN YA ROBBAL AALAMIIN🙏🏻🙏🏻🙏🏻","['kakak', 'gigi', 'yg', 'cantik', 'senyum', 'manis', 'dedek', 'rafathar', 'yg', 'ganteng', 'senyum', 'manis', 'moga', 'sehat', 'lancar', 'rezeki', 'usaha', 'lindung', 'allah', 'swt', 'amin', 'ya', 'robbal', 'aalamiin']"
Ham,Anak ganteng & ibu cantik....🥰🥰,"['anak', 'ganteng', 'cantik']"
Ham,Keluarga raffi nagita sehat selalu. Amin,"['keluarga', 'raffi', 'nagita', 'sehat', 'amin']"
Ham,Smoga sehat slalu buat ka Rafi sekeluarga amiiin,"['smoga', 'sehat', 'slalu', 'ka', 'rafi', 'keluarga', 'amiiin']"
Ham,Sehat slalu ank soleh,"['sehat', 'slalu', 'ank', 'soleh']"
Ham,Sehat selalu,['sehat']
Spam,Sultan,['sultan']
Ham,Semoga sukses dan sehat terus bersama keluarga.... Amin,"['moga', 'sukses', 'sehat', 'keluarga', 'amin']"
Spam,Ceria amet jadi iwi jadi iwi iwi jadi iwi  😊 iwi,"['ceria', 'amet', 'iwi', 'iwi', 'iwi', 'iwi', 'iwi']"
Ham,Masakalloh Dede rapatar gantengnya sehat selalu ya Dede rapatar mama gigi Amiin 🤲🤲,"['masakalloh', 'dede', 'rapatar', 'ganteng', 'sehat', 'ya', 'dede', 'rapatar', 'mama', 'gigi', 'amiin']"
Ham,Semoga sehat selalu mba Gigi dan Rafatar,"['moga', 'sehat', 'mba', 'gigi', 'rafatar']"
Ham,Sehat selalu,['sehat']
Ham,Ibu terbaik untk anaknya,"['baik', 'untk', 'anak']"
Ham,Semoga awet berkeuarga bahagia selalu,"['moga', 'awet', 'berkeuarga', 'bahagia']"
Ham,"Semoga selalu diberikan kesehatan, rezeki yg berlimpah.. .. sukses selalu untk keluarga raffi.","['moga', 'sehat', 'rezeki', 'yg', 'limpah', 'sukses', 'untk', 'keluarga', 'raffi']"
Ham,Masya Alloh tabbarokalloh bng rafatar ngguanteng bngt,"['masya', 'alloh', 'tabbarokalloh', 'bng', 'rafatar', 'ngguanteng', 'bngt']"
Ham,Keren,['keren']
Ham,Sehat slalu,"['sehat', 'slalu']"
Ham,"GBU fam..Rafi ,teruslah bermanfaat bg bnyk org 🙏👏😍😇👍","['gbu', 'fam', 'rafi', 'terus', 'manfaat', 'bg', 'bnyk', 'org']"
Ham,Semoga sehat sll.,"['moga', 'sehat', 'sll']"
Ham,Sehat2 selalu mm Gigi cantik dan anaknya Rafathar yang ganteng 🙏❤️😘👍,"['sehat', 'mm', 'gigi', 'cantik', 'anak', 'rafathar', 'ganteng']"
Ham,Halo rafatar n mam gigi,"['halo', 'rafatar', 'n', 'mam', 'gigi']"
Ham,"Salam Santun👏👏👏
DO'A,terindah buat Klrga AaRaffi...
Sehat selalu Sekeluarga 👐👐👐","['salam', 'santun', 'do', 'a', 'indah', 'klrga', 'aaraffi', 'sehat', 'keluarga']"
Ham,Ilove gigi,"['ilove', 'gigi']"
Ham,Beruntung banget si Rafatar terlahir dri orang kalangan atasss ...wekk kalangan bawahh bersyukur ey laahhh 🥺,"['untung', 'banget', 'si', 'rafatar', 'lahir', 'dri', 'orang', 'kalang', 'atasss', 'wekk', 'kalang', 'bawahh', 'syukur', 'ey', 'laahhh']"
Spam,Mantap mam dng. Kaka,"['mantap', 'mam', 'dng', 'kaka']"
Ham,Semoga sehat..,"['moga', 'sehat']"
Ham,Shat bhg sll kak bsama klga,"['shat', 'bhg', 'sll', 'kak', 'bsama', 'klga']"
Ham,mama gigi yg bohay n cantiikk❤❤❤,"['mama', 'gigi', 'yg', 'bohay', 'n', 'cantiikk']"
Ham,Masya Allah cakep nya Rafatar 🥰🥰🥰😍😍😍,"['masya', 'allah', 'cakep', 'nya', 'rafatar']"
Ham,Sehat selalu kel RANS,"['sehat', 'kel', 'rans']"
Ham,Smga sehat,"['smga', 'sehat']"
Ham,Ganteng dan soleh,"['ganteng', 'soleh']"
Ham,Semoga sehat selalu,"['moga', 'sehat']"
Ham,Ganteng AA Rafatar sehat sllu,"['ganteng', 'aa', 'rafatar', 'sehat', 'sllu']"
Ham,Keren banget,"['keren', 'banget']"
Ham,Sama muka ya mirip mamah gigi,"['muka', 'ya', 'mamah', 'gigi']"
Ham,Mga sehat selalu,"['mga', 'sehat']"
Ham,Raffatar mirip bngt mm gigi,"['raffatar', 'bngt', 'mm', 'gigi']"
Spam,Ya Allah,"['ya', 'allah']"
Ham,Sehat Selalu keluarga Rans..,"['sehat', 'keluarga', 'rans']"
Spam,Semoga langgeng kake nenek Rafi dan Nagita Amin saya bisa doa in aja nga bisa kasi apa2,"['moga', 'langgeng', 'kake', 'nenek', 'rafi', 'nagita', 'amin', 'doa', 'in', 'aja', 'nga', 'kasi']"
Spam,Maa syaa allah,"['maa', 'syaa', 'allah']"
Ham,Semoga sukses selalu ya aamiin 🤲 dan semoga sekeluarga sehat selalu aamiin aamiin ya rabbal alamin 🤲,"['moga', 'sukses', 'ya', 'aamiin', 'moga', 'keluarga', 'sehat', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alamin']"
Ham,Semoga sukses bosku anaknya,"['moga', 'sukses', 'bos', 'anak']"
Spam,Salam Dari LMD,"['salam', 'lmd']"
Ham,Sehat dan bahagia..,"['sehat', 'bahagia']"
Ham,Assalamualaikum bos semoga sehat dan sokses selalu Aamiiin,"['assalamualaikum', 'bos', 'moga', 'sehat', 'sokses', 'aamiiin']"
Ham,Sehat selalu ganteng❤,"['sehat', 'ganteng']"
Spam,Mamah gigi ikut kerja dong 🙏,"['mamah', 'gigi', 'kerja']"
Ham,sehat selalu,['sehat']
Ham,Semoga di lanycarkan sagala urusan nana,"['moga', 'lanycarkan', 'sagala', 'urus', 'nana']"
Ham,Mirip ibunya dia cowok jd ganteng bangat,"['ibu', 'cowok', 'jd', 'ganteng', 'bangat']"
Ham,cantik dan ganteng 💚,"['cantik', 'ganteng']"
Spam,Barokallohu fiikum A Rafi sekeluarga,"['barokallohu', 'fiikum', 'a', 'rafi', 'keluarga']"
Ham,Bunda cantik ade ganteng,"['bunda', 'cantik', 'ade', 'ganteng']"
Ham,Sehat selalu aa rafathar,"['sehat', 'aa', 'rafathar']"
Spam,"Pinang terbelah dua,, maksudnya 11 ,,12","['pinang', 'belah', 'maksud']"
Spam,ABG.. Nya.. Mama gigi.. 💟💟,"['abg', 'nya', 'mama', 'gigi']"
Ham,Ibuknya cantik anaknya ganteng banget,"['ibuknya', 'cantik', 'anak', 'ganteng', 'banget']"
Ham,Seat sllu,"['seat', 'sllu']"
Ham,Sehat selalu,['sehat']
Ham,Semoga di berikan kesehatan buat keluarga ka gigi raffi ahmad semuanya,"['moga', 'sehat', 'keluarga', 'ka', 'gigi', 'raffi', 'ahmad']"
Spam,Wau kren,"['wau', 'kren']"
Ham,Mudah mudahan Rafatarnya menjadi ustadz dan menjadi kebanggaan orang tuanya Amin 🙏,"['mudah', 'mudah', 'rafatarnya', 'ustadz', 'bangga', 'orang', 'tua', 'amin']"
Ham,Rafatar gigi banget👍👍,"['rafatar', 'gigi', 'banget']"
Spam,Tu la pasal kau ade selamat,"['tu', 'la', 'pasal', 'kau', 'ade', 'selamat']"
Ham,"Putranya ganteng, mamahnya cantiik 😍","['putra', 'ganteng', 'mamah', 'cantiik']"
Ham,MaasyaaAllooh Gantengnya Putra Mbak Gigi,"['maasyaaallooh', 'ganteng', 'putra', 'mbak', 'gigi']"
Ham,Sehat selalu ya sayang,"['sehat', 'ya', 'sayang']"
Ham,Keren,['keren']
Ham,MANTAP 👍,['mantap']
Spam,Mbak nagita main ke malang dong.,"['mbak', 'nagita', 'main', 'malang']"
Spam,Woooooowwwww....mome kok sama Rafathar cipung...mn enggak kliatan.moga cipung sehat selalu dan cepat gede.,"['woooooo', 'rafathar', 'cipung', 'mn', 'enggak', 'kliatan', 'moga', 'cipung', 'sehat', 'cepat', 'gede']"
Ham,Seyum membawa berkah,"['seyum', 'bawa', 'berkah']"
Ham,Subhanallah cantik dan ganteng sehat selalu mama gigi,"['subhanallah', 'cantik', 'ganteng', 'sehat', 'mama', 'gigi']"
Ham,Semoga sehat slalu dalam lindungan Allah SWT ...,"['moga', 'sehat', 'slalu', 'lindung', 'allah', 'swt']"
Spam,Dg baik sd yg dan lain aja deh m selamat at,"['dg', 'sd', 'yg', 'aja', 'deh', 'm', 'selamat', 'at']"
Ham,Bahagia selalu mama gigi n siganteng afatar,"['bahagia', 'mama', 'gigi', 'n', 'siganteng', 'afatar']"
Ham,Cantiik dan ganteng,"['cantiik', 'ganteng']"
Ham,"ASALAM MUALAIKUM Wbt...
Apa kabar bulek Nagita di sana , semoga sehat selalu y sek ,BETAPA bahagia y AFATAR PUNYA IBU YG BAIK YG SAYANG SAMA  SEMUA ANAK ANAK Y ,  YG SELALU ADA MENDAMPING SETIAP AFATAR DI MANA PUN AFATAR BERADA ,  BAHAGIA BUDEH DI SINI MELIHAT Y  AFATAR  SENANG BAHAGIA MELIHAT Y SAMA MAMA  NAGITA  BAHAGIA SEPERTU ITU , SETUM DAN TAWA , RASA BAHAGIA SELALU .. WALAU PUN MAMA NAGITA SELALU SIBUK , TAPI MASIH ADA WAKTU UNTUK ANAK ANAK Y YG  UNTUK BERCANDA BAHAGIA SELALU , AFTAR PUN NAMPAK SENANG DAN BAHAGIA Y...","['asalam', 'mualaikum', 'wbt', 'kabar', 'bulek', 'nagita', 'moga', 'sehat', 'y', 'sek', 'betapa', 'bahagia', 'y', 'afatar', 'yg', 'yg', 'sayang', 'anak', 'anak', 'y', 'yg', 'damping', 'afatar', 'afatar', 'bahagia', 'budeh', 'y', 'afatar', 'senang', 'bahagia', 'y', 'mama', 'nagita', 'bahagia', 'sepertu', 'setum', 'tawa', 'bahagia', 'mama', 'nagita', 'sibuk', 'anak', 'anak', 'y', 'yg', 'canda', 'bahagia', 'aftar', 'nampak', 'senang', 'bahagia', 'y']"
Ham,Tambah besar tambah ganteng anak sholeh,"['ganteng', 'anak', 'sholeh']"
Ham,Gigi Rafathar sekluarga selalu dalam lindungan Allah SWT 🤲🤲🤲,"['gigi', 'rafathar', 'sekluarga', 'lindung', 'allah', 'swt']"
Spam,Kangen udah lma eer sinyalnya gx bisa hadir,"['kangen', 'udah', 'lma', 'eer', 'sinyal', 'gx', 'hadir']"
Ham,Sehat selalu keluarga Rans,"['sehat', 'keluarga', 'rans']"
Ham,Makin gede makin ganteng aja ni si anak,"['gede', 'ganteng', 'aja', 'ni', 'si', 'anak']"
Spam,pagii..,['pagi']
Ham,Dri dlu smpe skrng pngn bngt ktmu sama kak gigi sama kak rafi,"['dri', 'dlu', 'smpe', 'skrng', 'pngn', 'bngt', 'ktmu', 'kak', 'gigi', 'kak', 'rafi']"
Ham,my idaman keluarga..,"['my', 'idam', 'keluarga']"
Spam,Mama gigi boleh mintak HP iphone,"['mama', 'gigi', 'mintak', 'hp', 'iphone']"
Ham,Rafatar ...cuakeeep banget.,"['rafatar', 'cuakeeep', 'banget']"
Ham,Sehat selalu buat kluaga raffi Ahmad,"['sehat', 'kluaga', 'raffi', 'ahmad']"
Spam,miniatur mama Gigi🥰🥰,"['miniatur', 'mama', 'gigi']"
Spam,Keren Cipung,"['keren', 'cipung']"
Ham,Ganteng yh,"['ganteng', 'yh']"
Ham,Ganteng aa Rafatar,"['ganteng', 'aa', 'rafatar']"
Spam,Mba gigi bisa. Ikur kerja ga  🙏🙏🙏🙏,"['mba', 'gigi', 'ikur', 'kerja', 'ga']"
Ham,AA Rafatar Mirip bintang Korea.,"['aa', 'rafatar', 'bintang', 'korea']"
Ham,Sehat selalu ya,"['sehat', 'ya']"
Ham,Alhamdulillaaahhh... Sayang keluarga ya bosku🤲🤲🤲🙏,"['alhamdulillaaahhh', 'sayang', 'keluarga', 'ya', 'bos']"
Ham,Tuhan memberkati,"['tuhan', 'kati']"
Ham,"Hi...aa Rafatar ganteng..sll sehat ya..bahagia bersama papa, mama dan si gemesin Rayyanza❤","['hi', 'aa', 'rafatar', 'ganteng', 'sll', 'sehat', 'ya', 'bahagia', 'papa', 'mama', 'si', 'gemesin', 'rayyanza']"
Ham,Hallo ganteng,"['hallo', 'ganteng']"
Ham,Mantaaaap,['mantaaaap']
Spam,"Mohon bantuannya rumah atapnya sudah mau roboh dihuni seorang diri ibu"" usia lebih dari 70 tahun. Alamat desa Leuwidingding kecamatan Lemahabang kabupaten Cirebon","['mohon', 'bantu', 'rumah', 'atap', 'roboh', 'huni', 'usia', 'alamat', 'desa', 'leuwidingding', 'camat', 'lemahabang', 'kabupaten', 'cirebon']"
Ham,Masya Allah cakep banget 👍😘😘,"['masya', 'allah', 'cakep', 'banget']"
Spam,Info loker apa aj donk papa raffi😁😁😁,"['info', 'loker', 'aj', 'donk', 'papa', 'raffi']"
Spam,Comel 🤗,['comel']
Spam,Biar silahturahmi tidak trputus kirim dana dulu seratus,"['biar', 'silahturahmi', 'tidak', 'trputus', 'kirim', 'dana', 'ratus']"
Ham,Tidak terasa Rafatar sudah besar.jadi anak sholeh yaa,"['tidak', 'rafatar', 'anak', 'sholeh', 'yaa']"
Ham,Semuga seht selalu ia,"['semuga', 'seht']"
Ham,Cakep anaknya kak Nagita,"['cakep', 'anak', 'kak', 'nagita']"
Ham,GBU 🥰😍👍,['gbu']
Spam,Kk blh mintak we a nya,"['kk', 'blh', 'mintak', 'we', 'a', 'nya']"
Spam,Joss,['joss']
Spam,assalamualaikum Kaka  😊😊🙏🙏🥰,"['assalamualaikum', 'kaka']"
Ham,"Masya Allah Rafatar udh gede tambah ganteng, mama gigi juga tambah cantik. 
Semoga jadi anak yg sholeh y.","['masya', 'allah', 'rafatar', 'udh', 'gede', 'ganteng', 'mama', 'gigi', 'cantik', 'moga', 'anak', 'yg', 'sholeh', 'y']"
Ham,"Mmh nya,cantik anaknya ganteng.....sehat slalu ❤️","['mmh', 'nya', 'cantik', 'anak', 'ganteng', 'sehat', 'slalu']"
Ham,GANTENG BANGET,"['ganteng', 'banget']"
Ham,Semoga sehat slalu,"['moga', 'sehat', 'slalu']"
Spam,A rafi,"['a', 'rafi']"
Spam,Mba gigi bisa ikut kerja ga ? 🙏🙏🙏,"['mba', 'gigi', 'kerja', 'ga']"
Ham,Mirip Bunda gigi rafathar🥰🥰🤭,"['bunda', 'gigi', 'rafathar']"
Ham,C rafatar makin gd mkinn ganteng nagitaa ibu yg baikk sll ceriaa,"['c', 'rafatar', 'gd', 'mkinn', 'ganteng', 'nagitaa', 'yg', 'baikk', 'sll', 'ceriaa']"
Ham,Keren..mm cantikku dan aa rafatar yg gammara...tersenyumlah👍👍🙏🙏😍😍,"['keren', 'mm', 'cantik', 'aa', 'rafatar', 'yg', 'gammara', 'senyum']"
Ham,Cantik....,['cantik']
Ham,Itu nama nya Gigi,"['nama', 'nya', 'gigi']"
Ham,Sehat selalu kk,"['sehat', 'kk']"
Ham,"Mirip, bnget Ama bunda ya dedek rafatar","['bnget', 'ama', 'bunda', 'ya', 'dedek', 'rafatar']"
Ham,kompak banget mb gita and anaknya lucu deh,"['kompak', 'banget', 'mb', 'gita', 'and', 'anak', 'lucu', 'deh']"
Ham,Ganteng nya lah anak nya bunda rapatar smg dalam lindungan nya Allah ya bun,"['ganteng', 'nya', 'anak', 'nya', 'bunda', 'rapatar', 'smg', 'lindung', 'nya', 'allah', 'ya', 'bun']"
Ham,Masya Alloh.. mamah nya Cantik anak nya Ganteng Sehat Slalu Oke 👍👍🤲🤲🙏🏻🙏🏻♥♥,"['masya', 'alloh', 'mamah', 'nya', 'cantik', 'anak', 'nya', 'ganteng', 'sehat', 'slalu', 'oke']"
Ham,"Sehat selalu ,gantenggg","['sehat', 'gantenggg']"
Ham,Sehat selalu dan sukses selalu😍,"['sehat', 'sukses']"
Ham,Sehat sehat terus ya kalian.. Dan teruslah membagi kebahagiaan orang lain,"['sehat', 'sehat', 'ya', 'terus', 'bagi', 'bahagia', 'orang']"
Ham,Sehat selalu amin,"['sehat', 'amin']"
Ham,Salaam sehat sllu ya AA,"['salaam', 'sehat', 'sllu', 'ya', 'aa']"
Ham,Semoga sehal selalu,"['moga', 'hal']"
Ham,si ganteng dan cantik mama gigi sehat2 selalu,"['si', 'ganteng', 'cantik', 'mama', 'gigi', 'sehat']"
Ham,"Selamat malam Mbak Gigi and dede Raffatar yg ganteng, salam sehat selalu","['selamat', 'malam', 'mbak', 'gigi', 'and', 'dede', 'raffatar', 'yg', 'ganteng', 'salam', 'sehat']"
Ham,Sehat Selalu mbak beserta kluarga nya....Aamin,"['sehat', 'mbak', 'serta', 'kluarga', 'nya', 'aamin']"
Ham,Anak ganteng,"['anak', 'ganteng']"
Ham,Sempurna 💯,['sempurna']
Ham,"Sehat selalu ,sukses dan Semoga ada rezeki buat warga grobogan","['sehat', 'sukses', 'moga', 'rezeki', 'warga', 'grobogan']"
Ham,"Wah mukaya sama ma2 ya ? Udah besar ,Rafatar ganteng ,,","['mukaya', 'ma', 'ya', 'udah', 'rafatar', 'ganteng']"
Ham,Wah bahagia 😊 kali,"['bahagia', 'kali']"
Ham,Semoga sehat sll sekeluarga mama gigi yg cantik ta.,"['moga', 'sehat', 'sll', 'keluarga', 'mama', 'gigi', 'yg', 'cantik', 'ta']"
Spam,Kpn ke J bound lg nih bro...?😇👍👌,"['kpn', 'j', 'bound', 'lg', 'nih', 'bro']"
Ham,Semoga sehat selalu ya aamiin aamiin ya rabbal alamin 🤲,"['moga', 'sehat', 'ya', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alamin']"
Ham,Bahagia selalu keluarga ny kak gigi_aa raffi Aamiin Yaa Mujib.. 🤲🤲,"['bahagia', 'keluarga', 'ny', 'kak', 'gigi', 'aa', 'raffi', 'aamiin', 'yaa', 'mujib']"
Spam,keluarga idham sepupu acara besok nikahan,"['keluarga', 'idham', 'sepupu', 'acara', 'besok', 'nikah']"
Ham,Mama gigi 😍❤️,"['mama', 'gigi']"
Ham,ganteng pisan aax 😍,"['ganteng', 'pis', 'aax']"
Ham,sehat selalu amin 🤲,"['sehat', 'amin']"
Spam,Ok,['ok']
Ham,Semoga sehat selalu ya,"['moga', 'sehat', 'ya']"
Ham,Wow  keren,"['wow', 'keren']"
Ham,Gantang sekali anak ya makgigi,"['gantang', 'anak', 'ya', 'makgigi']"
Ham,Dua2 nya  ngegemesin...sehat2 ya semuanya,"['nya', 'ngegemesin', 'sehat', 'ya']"
Spam,Bismilah 1jta,"['bismilah', 'jta']"
Ham,Rafatar udah gede dan ganteng🥰,"['rafatar', 'udah', 'gede', 'ganteng']"
Ham,Rafatar enggak kerasa udah besar... sekarang 5~6 th an yah🙏,"['rafatar', 'enggak', 'rasa', 'udah', 'th', 'an', 'yah']"
Spam,Momgi,['momgi']
Ham,Keren,['keren']
Ham,Mantap ganteung bangeut anak nyonya,"['mantap', 'ganteung', 'bangeut', 'anak', 'nyonya']"
Spam,Aa bos,"['aa', 'bos']"
Ham,Kok gantengan Rafatar yah sm mba Gigi hehehe😭,"['ganteng', 'rafatar', 'yah', 'sm', 'mba', 'gigi', 'hehehe']"
Ham,Rafatar muka sm mamanya,"['rafatar', 'muka', 'sm', 'mama']"
Spam,"And my moms
❤❤❤❤❤❤","['and', 'my', 'moms']"
Ham,Rafathar 🔥,['rafathar']
Ham,"Sehatyh ganteng, 🤲🥰🙏💪","['sehatyh', 'ganteng']"
Ham,semoga sekelurga sehat sehat selalu,"['moga', 'sekelurga', 'sehat', 'sehat']"
Ham,Salam...😊👏👏👏,['salam']
Ham,Ade rafatar sm buk rafi,"['ade', 'rafatar', 'sm', 'buk', 'rafi']"
Ham,Anak sholehnya mama gigi dan papa Raffi...Aa Rafathar sehat2 terus ya buat Aa Rafathar,"['anak', 'sholehnya', 'mama', 'gigi', 'papa', 'raffi', 'aa', 'rafathar', 'sehat', 'ya', 'aa', 'rafathar']"
Ham,Kaya kakak beradik,"['kaya', 'kakak', 'adik']"
Spam,Assalamualaikum wr wb,"['assalamualaikum', 'wr', 'wb']"
Ham,Semoga bahagia dan sehat selalu keluarga mbak gigi. Aamiin.,"['moga', 'bahagia', 'sehat', 'keluarga', 'mbak', 'gigi', 'aamiin']"
Ham,Cantik,['cantik']
Ham,Semngt bos,"['semngt', 'bos']"
Ham,Sie Cantiq & Ganteng Rafatar🥰🥰,"['sie', 'cantiq', 'ganteng', 'rafatar']"
Spam,Sempurna cinta,"['sempurna', 'cinta']"
Ham,Cmmh nya cntik Anae ganteng,"['cmmh', 'nya', 'cntik', 'anae', 'ganteng']"
Ham,Bahagianya sht sll y .,"['bahagia', 'sht', 'sll', 'y']"
Ham,mantap bagus,"['mantap', 'bagus']"
Ham,Mantap,['mantap']
Ham,Gigi nya,"['gigi', 'nya']"
Ham,Ganteng nya😘,"['ganteng', 'nya']"
Ham,Sehat selalu semoga diberi umur panjang amin,"['sehat', 'moga', 'umur', 'amin']"
Ham,Anak bujang,"['anak', 'bujang']"
Ham,Semuga srhat selalu ya,"['semuga', 'srhat', 'ya']"
Ham,Ganteng,['ganteng']
Ham,Semoga sht sllu,"['moga', 'sht', 'sllu']"
Ham,Ganteng nya,"['ganteng', 'nya']"
Ham,"Seha"" selalu",['seha']
Ham,"Waduh kayak kakak adik, mamanya cantik banget","['kayak', 'kakak', 'adik', 'mama', 'cantik', 'banget']"
Spam,Hdr,['hdr']
Ham,Semoga se llu sehat ke luar ga Andara,"['moga', 'llu', 'sehat', 'ga', 'andara']"
Ham,"Aa memang ganteng,,,🥰🥰🥰","['aa', 'ganteng']"
Ham,Aa rafatar ganteng masa Allah..,"['aa', 'rafatar', 'ganteng', 'allah']"
Spam,Gento Chanchann,"['gento', 'chanchann']"
Ham,Kembaaarrr 😂,['kembaaarrr']
Ham,Rafatar guanteng buanget keren.👍👍👍👍👍,"['rafatar', 'guanteng', 'buanget', 'keren']"
Spam,"Loveeee youuuu are
😍😍😍😍","['loveeee', 'youuuu', 'are']"
Ham,Semoga kompak sllu ..💑,"['moga', 'kompak', 'sllu']"
Spam,Hlo mbak gigi  aaak tu. Gembira skali mau d aja kemana,"['hlo', 'mbak', 'gigi', 'aaak', 'tu', 'gembira', 'skali', 'd', 'aja', 'mana']"
Ham,Ihh ganteng kaya bunda nya 🥰🥰,"['ihh', 'ganteng', 'kaya', 'bunda', 'nya']"
Spam,kasep ganteng,"['kasep', 'ganteng']"
Ham,Cantik SM ganteng mat malam mba gigi,"['cantik', 'sm', 'ganteng', 'mat', 'malam', 'mba', 'gigi']"
Spam,Veity Mantik dukung vote keluarga rans di SCTV ya lewat apk vidio sama bantu like komen di Ig sctv idham fitriani,"['veity', 'mantik', 'dukung', 'vote', 'keluarga', 'rans', 'sctv', 'ya', 'apk', 'vidio', 'bantu', 'like', 'komen', 'ig', 'sctv', 'idham', 'fitriani']"
Spam,Dsnh,['dsnh']
Ham,Slmt sore smua nya,"['slmt', 'sore', 'smua', 'nya']"
Ham,Semoga hidup barokah sehat bahagia,"['moga', 'hidup', 'barokah', 'sehat', 'bahagia']"
Ham,Mantap,['mantap']
Spam,"Asalammualikum,saya mau minta saran saya abis kehilangan anak laki saya dia baru saja meninggal,Gimana caranya saya bisa kembali ceria","['asalammualikum', 'saran', 'abis', 'hilang', 'anak', 'laki', 'tinggal', 'gimana', 'ceria']"
Ham,Masya'Allah ganteng sekali AA Rafatar,"['masya', 'allah', 'ganteng', 'aa', 'rafatar']"
Ham,Sehat selalu,['sehat']
Ham,semoga sehat selalu aamiin 🤲🤲🙏🙏🤲,"['moga', 'sehat', 'aamiin']"
Ham,Ganteng banget anak nya nih,"['ganteng', 'banget', 'anak', 'nya', 'nih']"
Ham,Sehat selalu,['sehat']
Ham,Imut,['imut']
